Dataset,feaures,instance,imbalance ratio,clf,None,,smote,,,,,,smote_sdae,,,,,,daego,,,,,,sdaego,,,,,,DAF,,daego_daf,,,,,,daf_encoder,,,,,
,,,,,,,100%,,200%,,500%,,100%,,200%,,500%,,100%,,200%,,500%,,100%,,200%,,500%,,,,100%,,200%,,500%,,100%,,200%,,500%,
,,,,,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,PC,AUC,Pc,AUC
Segment,19,2310,6,DT,0.9739130435,0.9976958525,0.9655172414,0.9969278034,0.9739130435,0.9976958525,0.9652173913,0.9924635177,0,0.5,0,0.5,0,0.5,0.9655172414,0.9969278034,0.9491525424,0.9953917051,0.9568965517,0.9916954685,0.6967213115,0.8689950422,0.745454,0.86183,0.7727,0.87814138,0.01333333333,0.4738143241,0,0.5,0.1467889908,0.5,0,0.5,0.1467889908,0.5,0.2398753894,0.6563460061,0.1467889908,0.5
,,,,SVM,1,0.7053571429,1,0.71875,1,0.7321428571,1,0.9924635177,0,0.5,0,0.5,0,0.5,1,0.6607142857,1,0.6830357143,1,0.7901785714,1,0.51869,1,0.514,1,0.57,0,0.5,0,0.5,0,0.5,0.1467889908,0.5,0.1467889908,0.5,0.1627906977,0.5576036866,0.1694402421,0.5783410138
,,,,MLP,1,0.9955357143,0.9824561404,0.9984639017,0.8682170543,0.9869431644,0.9739130435,0.9976958525,0,0.5,0,0.5,0,0.5,1,0.9910714286,1,0.9732142857,0.9491525424,0.9953917051,1,0.98598,1,0.9626,1,0.9813084,0,0.5,0.1467889908,0.5,0.1467889908,0.5,0.145688,0.5,0.1773162939,0.6,0.16918429,0.5775729647,0.3164179104,0.7973310292
KDDCUP,76,145751,111.46,DT,0.612371134,0.871144928,0.6336842105,0.8763168041,0.5778611632,0.8845761828,0.531516184,0.8890771994,0,0.5,0,0.5,0,0.5,0.6812652068,0.8503856284,0.6770334928,0.8541125439,0.6754176611,0.8541020617,0.1818181818,0.8533867244,,,,,0.018,0.546,0,0.5,,,,,,,,,,
,,,,MLP,0.6012658228,0.8560590689,0.5593869732,0.8644232694,0.2720450281,0.8561874361,0.265560166,0.8927333207,0,0.5,0,0.5,0,0.5,0.7878787879,0.76071953,0.6984,0.83922,1,0.53015,0.97,0.7193940625,,,,,0.0088,0.501,0,0.5,,,,,,,,,,
boundary,175,3505,27.495,DT,0.008888,0.53,0.125,0.54529,0.07894,0.52,0.05,0.507386,0,0.5,0,0.5,0,0.5,0.078947,0.5209,0.1,0.53265,0.0243902439,0.4949314252,0.05769230769,0.5165474061,,,,,0.0462962963,0.5091908,0,0.5,,,,,,,,,,
,,,,MLP,0.375,0.5958672,0.086,0.51498,0.12,0.52672,0.272727,0.5333,0.0337,0.5,0,0.5,0,0.5,0.1,0.51632,0.095,0.51587,0.15,0.5617173524,0.2,0.5220632081,,,,,0.02631578947,0.4981365534,0,0.5,,,,,,,,,,
page-block,10,1578,8.788,DT,0.8206521739,0.8892668178,0.8062827225,0.8959664674,0.8288770053,0.900158043,0.7823834197,0.8864838865,0,0.5,0,0.5,0,0.5,0.8636363636,0.8946952518,0.8516483516,0.901704116,0.8641304348,0.9129045558,0.3586387435,0.7866762867,0.4496855346,0.8241943242,0.4338624339,0.8676905105,0.1,0.482,0.4285714286,0.5066996496,0.09415768576,0.4453377311,0.1046511,0.5,0.0841924,0.3944,0.1046511628,0.5,0.09899328859,0.4701092558
,,,,MLP,0.7571428571,0.9048649763,0.8333333333,0.9004672576,0.6113207547,0.8967223253,0.6258992806,0.9281591424,0,0.5,0,0.5,0,0.5,0.8529411765,0.8758675187,0.6931216931,0.8286264001,0.8525641026,0.8447399162,0.9150943396,0.7538308253,0.8152866242,0.8296571154,0.8775510204,0.7238026524,0.0877,0.4586113,0.09870276368,0.4688380403,0.09415768576,0.4453377311,0.09760273973,0.4635126778,0.1046511,0.5,0.09537741369,0.4531711675,0.1046511628,0.5